"property_id","price"
"0006c9478f4e7edc53d84916",463415208
"00076c8f390d5dcccc133309",926404920
"001399d3861c5792ccb8b515",1162566206
"0016e35cfd881ee2e37b49b3",764033767
"001c03f6103d35389825b62e",762525517
"001d77bfb387bdf0b53e9e83",753140319
"001dbdd202e9908ee42713a8",1094346433
"00304df33a3c9a7e396ddd3a",879368961
"0037d98f6ac46a86e36def45",630739493
"0038a3b703f4ec779bbcfe6b",534794456
"004776514ad269b380581066",440190256
"004c9da9ef1b3b5e309e475a",575224478
"00571815d5a7f208eb3e7737",1218974895
"00586a92b53f4a8f9f6b3022",830216537
"005ab848b35907e42aa0f4f2",1380963403
"0064cd1c55914cc8370a096f",567011141
"0083ef74db679d22463a1afe",714679223
"00858277a3cf4f31b8e3f738",639169696
"008c7a02d158f3b17ee8e015",492614662
"00a5133e7373eae3f0be8f2e",528836184
"00af33cff3ff7c6927306df4",621701468
"00ba709f184e70be13e5bf9b",630703403
"00bff9be2d524083e3b3149d",744630092
"00c1165df93a4cfe679f54e2",846592706
"00c75d59ed4777481a50cbd3",1066145205
"00ce045307538da1b0bb7972",721123048
"00cea81b78d6007eb405d5b3",630508552
"00dd36caffef00fcde85b235",1095386402
"00dea98fbfbfeae74c513bb6",1320774201
"00e7c5894c739852052f566a",766902692
"00e80be4feb1e8593b7713fe",502735105
"00e9afbd1d27062a7bd40a3c",1200985504
"00eb120ba4410ed8efa24a8e",723915066
"00f2621035b1969d53f03fca",911503232
"00f5ba660a4fcf6ddb96220a",597557261
"00f6a62599f25ac506113149",1059039502
"0100b3a412accebf6a3aa4b1",397783444
"01018b9796a105be650ec802",1108068078
"010e676743f6afc01fd0838b",1233042713
"011a6d0f12ba108ef15076b4",428995480
"011c2017b63235bf0ed3f241",507504094
"01230eede2a4a74ec4ee5105",897518894
"0123237414f757b9c3809f88",1084472397
"012b8d616667a6dcece0dfaf",795576373
"013e2a07f94a99323b64d370",1398372191
"014799b9ef7d5244fb6640ff",1375784202
"0152ffa8757aaaf417e9f997",1206896258
"015d17895f32e2a8b616ca1b",785014397
"01636da0aa2bc223af023a13",733074487
"016bb199b12846ccb0b03191",854025533
"016dd08801ad1a1e7f6e695b",1578915601
"0172678cb0737e21a317eda4",381035757
"017487de3455d9f642a7fadc",950993230
"0181972aeb6bf451012a47c6",1024177966
"0183b38955437e8d0128a013",1314674288
"019cd320e02a64ba3ba9a37d",835030064
"019f4a25794ef01294845b51",903258274
"01a5a230e8a808d844e64397",1328477549
"01abe3cfc94be46c1153c82d",899402225
"01afa737bcfa6b1ab530eb09",1136762295
"01b78983d268b52137e5ac1b",419616085
"01b7bb1556b5c32df8f618cc",785588071
"01cac7d033166094ab9f87b0",720415047
"01cda25ee8545b9fe19717ed",1335581173
"01db5867a69f8ea7849d69e8",1417543440
"01e033f5bd502c4ad398ece7",527471194
"01e907d7672006fa2bba8b0f",486407717
"01e9c7531cf3c63c04b9189f",722739615
"01eb0a2c1033c30830161321",639707554
"01edceb6c5afc2af1e129e86",344203635
"01f6c99999c154461765f4c4",578673255
"01f855427cbe3eb51b38288f",833519965
"01f8b6799e2910f7769db175",939985536
"01fb5931cb55f5308382818e",1298002930
"01fe5add1e7df4b15dd73bc9",629740559
"020473766363019ee40d6685",873578073
"02060d2f56e979a61427f806",756971122
"02091877f01c926c350b013b",593951756
"020dfae44183c65b708727c7",501078957
"022357a3d48ea87d58ffb46e",450185779
"02259637b8ef1311c69d3d90",929316162
"02277f636716264116015dde",406412736
"0232a50c9afca03cbf4277c8",485540119
"024c5c787d005adbe770b9bf",525537055
"024d2e34a561efaf4811c17a",1015583821
"024e94e72ae88464621539eb",789943936
"0252fcaf7bcde09274d34be5",765086647
"025a98586386211b1519f9be",452796783
"025b094e1ea7248f4aba72f0",352643197
"025d96090a8e5bd6f786e9b6",760555896
"026c6384ceba017c5f2cd66e",574088950
"0274166db611aabe4e946a83",519350961
"02779b92b2f9bafde0c75c11",639191641
"027947dd01dc991ffefc5082",464856424
"0283890ab76b10547b27e634",622374181
"02888257efaae858fdc7938e",712376503
"028adaf559a05c8882893767",982012273
"029224b78e8f358aa9c38e94",436400771
"02990998f3621fc5a3d0ee63",445337456
"02a0a38b45e1b196165b0098",752047935
"02a2ebb6eca5772e3526d78b",783243599
"02a9c37b3d92a6da473c6fbc",465154432
"02b47e60ab77588aff6cb433",516051945
"02c6e8c7f36a2c68851600c6",614438503
"02cb957c3db9ded3691a9004",748834552
"02ce5bc5d5d286a4cc0928f6",963713002
"02d598a32d864c289e3ba6b0",843628387
"02d5bac2567ee9e19041ad42",1436980261
"02d89daa77bb313328fe0c4e",507548623
"02e52d3895522d9be85c4544",522753818
"02e8811bff38125bcf8e1a6d",431350279
"02e89c055b7692dab024defc",535261838
"02e9b077d6cece81387fda35",877572772
"02ea72128a99862e9537718e",942214933
"02ed31afcba033953c79d95d",633240748
"02f6ffcfcdd3dbba94dd7b33",1221998828
"03025756be203027ab75aaae",557465008
"03243195c467c67e67a7823e",612394517
"0332c7ec0d3e547ec6d61664",979580338
