"property_id","price"
"0006c9478f4e7edc53d84916",466727749
"00076c8f390d5dcccc133309",834385073
"001399d3861c5792ccb8b515",1042164202
"0016e35cfd881ee2e37b49b3",738962210
"001c03f6103d35389825b62e",700757310
"001d77bfb387bdf0b53e9e83",755100220
"001dbdd202e9908ee42713a8",975647019
"00304df33a3c9a7e396ddd3a",799684719
"0037d98f6ac46a86e36def45",671469567
"0038a3b703f4ec779bbcfe6b",469782832
"004776514ad269b380581066",443229244
"004c9da9ef1b3b5e309e475a",565383294
"00571815d5a7f208eb3e7737",1115833070
"00586a92b53f4a8f9f6b3022",746223606
"005ab848b35907e42aa0f4f2",1359063333
"0064cd1c55914cc8370a096f",424420723
"0083ef74db679d22463a1afe",629783846
"00858277a3cf4f31b8e3f738",584009332
"008c7a02d158f3b17ee8e015",463934761
"00a5133e7373eae3f0be8f2e",485517551
"00af33cff3ff7c6927306df4",618250840
"00ba709f184e70be13e5bf9b",644618417
"00bff9be2d524083e3b3149d",668273963
"00c1165df93a4cfe679f54e2",693250254
"00c75d59ed4777481a50cbd3",939842878
"00ce045307538da1b0bb7972",810208468
"00cea81b78d6007eb405d5b3",626857383
"00dd36caffef00fcde85b235",1060213579
"00dea98fbfbfeae74c513bb6",1223788247
"00e7c5894c739852052f566a",720393529
"00e80be4feb1e8593b7713fe",517889112
"00e9afbd1d27062a7bd40a3c",1198090500
"00eb120ba4410ed8efa24a8e",614444152
"00f2621035b1969d53f03fca",820843322
"00f5ba660a4fcf6ddb96220a",584972578
"00f6a62599f25ac506113149",970435980
"0100b3a412accebf6a3aa4b1",436255243
"01018b9796a105be650ec802",1012828166
"010e676743f6afc01fd0838b",1048925889
"011a6d0f12ba108ef15076b4",411465265
"011c2017b63235bf0ed3f241",456009400
"01230eede2a4a74ec4ee5105",835395092
"0123237414f757b9c3809f88",929440190
"012b8d616667a6dcece0dfaf",754869792
"013e2a07f94a99323b64d370",1099937444
"014799b9ef7d5244fb6640ff",1216328982
"0152ffa8757aaaf417e9f997",998243371
"015d17895f32e2a8b616ca1b",689787371
"01636da0aa2bc223af023a13",657235576
"016bb199b12846ccb0b03191",814165962
"016dd08801ad1a1e7f6e695b",1318542418
"0172678cb0737e21a317eda4",412577430
"017487de3455d9f642a7fadc",848665567
