variable,variable_label,prop_1_Test,prop_1_Train,pct_missing_Test,pct_missing_Train,n_validos_Test,n_validos_Train,brecha_pp_Test_Train
cocina_integral,Cocina integral,0.1839393350184717,0.27680881896284026,0,0,10286,38644,-9.286948394436855
cerca_transporte,Menciona transporte,0.15720396655648455,0.2411758617120381,0,0,10286,38644,-8.397189515555354
remodelado,Remodelado,0.1467042582150496,0.08831901459476245,0,0,10286,38644,5.838524362028714
es_lujo,Señal de lujo,0.12453820727202022,0.07820101438774454,0,0,10286,38644,4.633719288427568
tiene_terraza,Tiene terraza,0.3210188605872059,0.30071938722699515,0,0,10286,38644,2.0299473360210762
tiene_seguridad,Tiene seguridad,0.26297880614427377,0.27520443018321084,0,0,10286,38644,-1.2225624038937066
tiene_deposito,Tiene depósito,0.3472681314407933,0.3583738743401304,0,0,10286,38644,-1.1105742899337079
es_duplex,Dúplex,0.07884503208244216,0.06937687609978263,0,0,10286,38644,0.946815598265953
zonas_verdes,Menciona zonas verdes,0.5972195216799533,0.6058120277403996,0,0,10286,38644,-0.8592506060446259
tiene_piscina,Tiene piscina,0.05347073692397433,0.059828175137149366,0,0,10286,38644,-0.6357438213175033
tiene_gimnasio,Tiene gimnasio,0.2439237798950029,0.23799296139116033,0,0,10286,38644,0.5930818503842583
tiene_parqueadero,Tiene parqueadero,0.6931751895780672,0.6951661318704068,0,0,10286,38644,-0.1990942292339537
tiene_balcon,Tiene balcón,0.20591094691814116,0.2048959735017079,0,0,10286,38644,0.10149734164332513
es_penthouse,Penthouse,0.017985611510791366,0.017441258668874856,0,0,10286,38644,0.054435284191651015
